,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,相關連結,專案三個關鍵字,專案徵人（專長）,slides url,youtube url: 專案報告,youtube url: 成果報告
"Day 1
8/30 10:50【3分鐘提案報名】每個 present 3min，提案、徵人。",,,,,,,,,,,,
 ,11:00,v,ipa,OK,11/9 Summit unconference懶人包,CC by g0v.tw,https://g0v.hackpad.com/unconference--UQVESB4TJm3,"unconference, summit,懶人包", 設計/繪圖/動畫,,https://www.youtube.com/watch?v=fERgMNnJmwg,
4,11:09,v,吳長鋼,ok,貪汙案件查詢網站(暫名),MIT,,"貪汙 , 監督 , 開放",前端 & 後端 (資料解析),http://www.slideshare.net/littlekang1/g0v-38507200,https://www.youtube.com/watch?v=xHotWnUiJZc,
5,11:12,v,chewei,ok,公有地大行動/天龍特公地,"CC0, MIT",http://hackfoldr.org/POPonFire/6UvvtZqOfN5,"公有土地資料, 地圖, 協作","地圖互動上傳資料功能建置,前端,後端",http://www.slideshare.net/MikLiu/20140830-poponfire-3min-38477927,https://www.youtube.com/watch?v=OZ4UY1ApieE,
6,11:15,v,shuhua,ok,島嶼天光學潮實紀錄,MIT,http://hackfoldr.org/sunflowerDocumentary/,"學運, 記錄, 文字化","前端美化, 逐字工具包(切youtube+切豆腐技術)",https://drive.google.com/file/d/0B17DUQv0YPeMZUNiaGVyeWtLQ3c/edit?usp=sharing,https://www.youtube.com/watch?v=8zpaGUpNQgk,
7,11:18,v,johnny,OK,議員投票指南,CC0,http://councils.g0v.tw/,議員 http://goo.gl/yphsjC,抓各縣市議會資料、設計,,https://www.youtube.com/watch?v=26tQV_lFe6U,
8,11:21,v,lololol,ok,零食儲備計畫,CC-BY-SA 4.0,https://g0v.hackpad.com/U4G8f2H9ttF,xml、政府資料開放平台、視覺化,美工、UI、xml,http://www.slideshare.net/SilversKi/ss-38505697,http://youtu.be/UEtE4Ekpr6o,
9,11:24,v,陳膺帆,OK,氣候選戰,CC0,"https://g0v.hackpad.com/-Vote-for-Climate-4ac9ap7zhrn
",氣候變遷，平台，監督,互動網站建構，美工,,http://youtu.be/PnIqOYpMVFo,
10,11:27,v,nchild,OK,自己的文字自己究,CC BY 4.0,https://g0v.hackpad.com/j7PqE3IBJFG,文字、字形、正體中文,初期：字形專家、工人智慧、資料庫、圖像辨識（如果可能）,http://bit.ly/1tLEkqw,http://youtu.be/wC2btL3rRww,
11,11:30,v,AliceWei,OK,圖博資訊站,MIT,https://g0v.hackpad.com/ocinSG3jCJF,圖博、藏人、徵後端,PM、後端,https://www.icloud.com/iw/#keynote/BALo9f9M7Rhc0jQoXgKBHG3Pr5kdWuuXk-OF/%E5%9C%96%E5%8D%9A%E8%B3%87%E8%A8%8A%E7%AB%99%E6%8A%95%E5%BD%B1_20140824,http://youtu.be/EhEmeBWL0jc,
