"晚來的朋友可以看 http://hack.g0v.tw
會議室禁止飲食 !!14:00 8min 短講!!",,,,,,
坑名,坑主,位置,English,,,
選舉支出監測,彥圖,第一會議室左側第3排中,Election Campaign Expense Monitoring,,,https://g0v.hackpad.com/--E9X1LqXJZz9
環境資訊全球推動計畫,灰色formotse,第一會議室右側第1排右,Environmental Knights,,,
眾志成城；2015台北數位藝術節,chihao,第一會議室第一排靠門口,Let's Build a Fucking Castle Together; Digital Arts Festival Taipei 2015,,,
Data+Design 翻譯,nchild,,Translating Data+Design Book,,,
BatDrone,kevinphy,,BatDrone,,,
自主生產計劃書產生器,ipa,,birthing autonomy - plan sheet generator,,,
情境網頁遊戲,雨蒼/poga,,Interactive Story Teller,,,
阿美語萌典,miaoski,,Amis moedict,,,
IoT 空污偵測,miaoski,,IoT for PM2.5 pollution,,,
doit,yutin,,"Collaborate with Dep of IT, Taipei City Government",,,
判決書之一句話激怒書記官,ronny,中央.第二排.第一會議室,Annotated Judicial Verdict Document,,,
河圖-跨議題資訊整合介面,三,,Atlas Of Dao,,,https://goo.gl/aJXGSY
八仙塵爆的新聞報導分析,Michael_LI,,News Hackathon,,,
公有地大行動,chewei,,Public-Owned Property,,,
itaigi,Liz,第一會議室第一排靠內側,itaigi,,,
Issue Taiwan台灣好問題,Nicky,第一會議室第三排右側,Issue Taiwan,,,
政治承諾網,MrOrz,第一會議室第三排右側,Political Promise Tracker,,,
2016總統大選承諾一覽表,MrOrz,第一會議室第三排右側,2016 Presidential Campaign Promise Coding and Tracking,,,
