,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
10/24 09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,
直播網址,,,,,,,,,,,,,
1,9:40:00 AM,,youtube 播放清單,,https://www.youtube.com/playlist?list=PLdwQWxpS513DCtvJq7bmo8UIG9b-hx8Qf,,,,,,,,
2,9:43,,,,,,,,,,,,
3,9:46,,,,,,,,,,,,
4,9:49,,,,,,,,新聞　分析　媒體組織的行為,"1.分類文字新聞
2.分類電視新聞
3.勞力者",,,
5,9:52,,,,,,,,,,,,
6,9:55,,,,,,,,食蛇龜、生態、資訊交流,HTML+CSS+JS、資訊視覺化設計,,,
7,9:58,V,Michael_LI,OK,八仙塵爆　新聞分析（80天）,,晚點開專區,,,,,,
8,10:01,V,If,OK,救救臺灣龜與生態研究資訊交流,程式 MIT / CC BY-NC 4.0,"https://g0v.hackpad.com/tFDaeOtsSbU
https://hackfoldr.org/turtle-cuora",,,,,,
9,10:04,V,MrOrz (Johnson),ok,2016 總統大選承諾一覽表,程式 MIT / 承諾資料 CC BY 4.0,http://beta.hackfoldr.org/president2016-folder,http://hacktabl.org/president2016,"總統大選, 選舉承諾, 表格 UX design","新聞, 政治, UI / UX",,,http://www.slideshare.net/JohnsonLiang1/2016-g0v-hackath15n
10,10:07,V,chewei,ok,公有地大行動-財政部國產署管理土地地圖,CC BY 4.0,http://hackfoldr.org/POPonFire,http://land.shida.info/,"地號, 地圖, 公有資產","爬資料, 地圖, db",https://www.youtube.com/watch?v=wG6zkqn-wSI,,https://goo.gl/B1URIl
11,10:10,V,chewei,ok,Translate4you 為你翻譯,程式授權待查 / CC BY 4.0,https://g0v.hackpad.com/Translate4you--j5b4i4DdTbX,https://github.com/g0v/Translate4you,"翻譯, 語言, 工具","Ul, 程式, 翻譯",https://www.youtube.com/watch?v=NHoJdkeUXd0,,https://goo.gl/YIY1hh
12,10:13,V,yan,ok,農作物開放資料,CC BY 4.0,https://g0v.hackpad.com/agrisync--kCmdNxq7RUe,https://goo.gl/xRa1rT,農業、維基物種、圖鑑,"農作物分類, 爬資料, 資料儲存",,,https://goo.gl/8ifIof
13,10:16,V,Macpaul/Mindos,,逆滲透 - 開放資料研究社,,,,,,,,
