,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
2016/6/18 09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,
https://www.youtube.com/watch?v=OHgGTZYHqJI,,,,,,,,,,,,,
錄影: https://www.youtube.com/playlist?list=PLdwQWxpS513DjtdMCJ8kmxD8boCtgyv_S,,,,,,,,,,,,,
1,9:40,V,雨蒼,ok,近期成果報告（？）,CC BY 4.0,有點雜,https://docs.google.com/presentation/d/1FkzyZASKwUlfM4zOqkxiJYYc91O1w7viAM0_2sc34II/pub?start=false&loop=false&delayms=3000,,？,,,
2,9:43,V,Neo,ok,Rev Now 音樂製造,CC BY 4.0,待補,http://www.slideshare.net/HongHong19/revnow,音樂創作、開放、共享經濟,工程師、音樂創作者,,,
3,9:46,V,BoYi,ok,Taiwan 2030,CC BY NC-SA,http://hackfoldr.org/taiwan-2030/,http://www.slideshare.net/addisonsky/npp16th-g0v,公共參與、維基城市、時代力量,UI設計師、UX設計師、前後端工程師,,,
4,9:49,V,韋銘,ok,你今天加班了嗎?,MIT / CC BY 4.0,https://g0v.hackpad.com/tA21IMtODD8,http://www.slideshare.net/WeimingChen1/ss-63180418,勞動環境、工時與加班費、資訊曝光,UI設計師、UX設計師、瞭解勞基法的人,,,
5,9:52,V,chewei ,ok,（如何不要）秒滅兩萬人？,CC BY 4.0,https://g0v.hackpad.com/lBqSV2OOpIi,https://docs.google.com/presentation/d/1v19LXTU8bQZGZ44oRc1OPHEAn4q43q0V0hGL5QlfUKU/edit?usp=sharing,危險度、境況模擬、災,都市計畫，災害議題，地理資料,,,
6,9:55,V,Liz,ok,iTaigi 愛台語,CC BY 4.0,https://g0v.hackpad.com/moed7ct-taigi-neologism#iTaigi,http://www.slideshare.net/LizLin5/itaigi-0618,台語、家己的辭典家己編,前後端工程師、UI/UX設計師、對台語有興趣的人,,,
7,9:58,V,陳瑞賓,ok,WaterGo！免費飲用水地圖,全都公開,http://beta.hackfoldr.org/drinking-water/BAdDl4G9uXM,http://www.slideshare.net/ssuser5782ff/ss-63168512,飲水地圖、osm,前端工程師、app開發工程師,,,
8,10:01,V,Michael_LI,ok,文本分析器（用魚骨圖討論事情）,MIT,https://newshackathon.hackpad.com/2016-06-18g0v-Mrk4q9PMO40,（之前比較詳細介紹的錄影）https://youtu.be/7K-_Tl-ba_k?t=2h36m47s,新聞事件分解出原因、文字分析、直播節目,前端工程師javascript、UI/UX設計師、node.js,,,https://drive.google.com/folderview?id=0B6ASgY1GMSOhX0pQcjBoVDNtRGM&usp=sharing
9,10:04,V,nchild,ok,共識預煮 precooksensus,CC BY 4.0,https://g0v.hackpad.com/precooksensus,http://bit.ly/g0v19th,公共參與、社會共識,對公共議題共識機制有興趣的人,,,
10,10:07,V, Fumi,ok,立委咖電喂,CC-BY 4.0,https://g0v.hackpad.com/--t5nla4R4Dft,http://www.slideshare.net/JessieWang29/19g0v,立委聯繫資料,PM、文字討論工作者、對專案有興趣的人,,,
11,10:10,V,Y.D Lin,ok,看見思法：屬於人民的視覺司法資料庫,MIT,黑客松完立馬補上,http://vizjust.tw,司法統計資料、Infographic,後端工程、UI/UX設計師,,,http://www.slideshare.net/YuDeLin2/g0v-63193288
12,10:13,V,ynnk&a-tsioh,ok,padagraph.io + g0v.tw = ?,,https://g0v.hackpad.com/Padagraph.io-Dp1htXil6rO,http://g0v-tw.padagraph.io/,network crowdsourcing dataviz,"python scripter, 有案子的人 legal aspects discussion",,,https://github.com/padagraph/Presentations/blob/master/g0v_20160618.md
13,10:16,V,Yoyo,ok,g0v新手讀書會,CC-BY 4.0,https://g0v.hackpad.com/g0v-T8j3gi1D2ee,https://docs.google.com/presentation/d/1J7RSGY1j4PpcjYBabkM60iDIbCytp2TYvHE2Ti96cgw/edit?usp=sharing,學習、新手、教學,"1.新手想學
2.老手想教人
3.想一起學習進修",,,
14,10:19,V,leo424y,ok,坑曆,CC-BY 4.0,http://j.mp/坑曆,,一鍵黑客松、自己報的松自己跳、進步主義,前端工程師、UI/UX設計師,,,
15,10:22,V,Moses,no,新住民入館第一步：博物館官網母語化,,https://g0v.hackpad.com/pnSMhz0PLLa,https://docs.google.com/presentation/d/1u45GNxT4us4sWM87PwcvPyQohAHZ9wBe6BVh5LKwiRc/edit#slide=id.p30,新住民、博物館官網、母語化,(待討論後列出),,,
16,10:25,V,Christine Lee,ok,自己的公園自己顧：公園地圖+特公盟時間軸,CC BY 4.0,https://g0v.hackpad.com/--5mr6LvvVLva,https://www.dropbox.com/sh/r0vudgrcwtx9h4d/AACbFzwwb6nB7A85LLqnHAr0a/PPFCC%20for%20Hackthon.pptx?dl=0,公園、遊戲權、公民參與,不論專長，只問熱血,,,
17,10:28,V,ETBlue,ok,Debater 編輯小幫手 browser plugin,MIT / CC0,https://g0v.hackpad.com/Debater--vjeJIZ8onSY,http://etblue.github.io/debater/?source=https://hackmd.io/CwUwJgZiDMAcsFowAYQEYHAJy2QgRsslgtMMVuQMZUBs+EQA/download,網路、筆戰、整理,前端工程、著作權法、編輯,,,
18,10:31,V,gavin,ok,自己的飛安，自己救,CC BY-NC,https://g0v.hackpad.com/NacE7VPcPVx,https://docs.google.com/presentation/d/1wubhsjJRfuspnlLpB6ZDV5B-oIkMYFtKAI_xGBMWGPo/edit?usp=sharing,空拍、無人機、飛安,歡迎參加,,,
19,10:34,V,clkao,ok,g0v 基礎建設,MIT / CC BY 4.0, ,https://g0v.hackpad.com/projecthub-redux-9U6DLtdZc48,人坑介面、基礎建設,,,,
