,,,,,,,,,,,,,
順序,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,9:40,,,,,,,,,,,,
2,9:43,v,劉李,Y,HackStory,程式 MIT / 資料 CC0,https://g0v.hackpad.com/HackStory-6svktTYKVLb,https://docs.google.com/presentation/d/1wQWcjQhfLpZRMJPnTLXphjLlgzQxikWVhr4sUt5RReo/edit#slide=id.g1aad072ec0_0_0,1.協作工具 2.時間軸,"Javascript, UI/UX",,,
3,9:46,v,MrOrz,Y,真的假的 - 查證轉傳訊息,程式 MIT / 資料 CC0,http://謠言.大平台.tw,rumors.hacktabl.org,LINE bot、fact checking、crowd sourcing,"1. 查證轉傳訊息的小編
2. web 前後端工程師
3. 對開發 bot 有興趣的人",,,https://docs.google.com/presentation/d/1qCEoiVJBBfDwsNqTDKUF2RnCv3LQmvzdesNsVTTZqq0/edit#slide=id.p
4,9:49,v,weiting,Y,阿美語萌典,,https://hackpad.com/WPLVA9cNxOc,http://ppt.cc/rrnJg,阿美語、萌典、原住民,文字工、校對,,,
5,9:52,v,Mg Lee,Y,開放政府報告 - 資料集盤點,終版報告 CC BY/ 資料集 CC0,https://g0v.hackpad.com/--8fxOWuoTDrl,https://docs.google.com/spreadsheets/d/1868SZMB0dalwMswFyHPzxaQ4U_dZ7mXK-_5Byl_l9YQ/edit#gid=0,開放資料、開放政府觀察報告,"對開放資料有興趣的人
擁有各領域知識的人",,,
6,9:55,v,Sarah Maquet (journalist) and Dominique Preusse (director/cameraman),,,,,,,,,,
7,9:58,v,芥藍菜,Y,公共政策網路討論論壇,,https://g0v.hackpad.com/OUeZtcTmQon,https://drive.google.com/open?id=0B2N1kfWfJEVaTHM1RTJIMHRNbm8,"1.公共政策論壇
2.爭議點釐清
3.公共政策wiki","網站前後端工程師
熟悉論壇作業的版主
熟悉公共政策討論流程",,,
8,10:01,v,Mentor Matching 工作團隊,Ｙ,一思一友 Mentor Matching,,https://g0v.hackpad.com/-Mentor-Matching-TdTZhgyg0Y5,"http://www.spiroxfoundation.org/Mentor_Matching/index.php 
",1.大學生學職涯接軌 2.Design your life 3.點燃大學生自我熱情,網站前後端工程師,,,
